#Spectrum of SDSS J141324.27+530526.9
#downloaded from http://skyserver.sdss.org/dr16/en/tools/quicklook/summary.aspx?ra=14%2013%2024&dec=53%2005%2027
#z = 0.4563313
#Wavelength,Flux,BestFit,SkyFlux
4070.053,36.845,33.589,18.104
4070.989,37.372,33.761,17.256
4071.928,39.076,33.818,15.682
4072.865,41.019,34.076,14.915
4073.802,40.663,33.984,15.477
4074.741,41.935,33.771,16.492
4075.679,40.293,33.881,17.083
4076.618,41.817,33.818,16.781
4077.556,43.282,33.655,16.064
4078.497,41.360,33.705,15.985
4079.435,39.572,33.870,16.174
4080.373,42.311,33.804,16.953
4081.314,41.173,33.483,18.083
4082.253,39.632,33.432,18.424
4083.194,40.835,33.302,17.590
4084.134,41.774,33.063,16.515
4085.076,38.672,32.912,16.105
4086.015,38.813,32.882,16.324
4086.955,39.704,32.874,16.960
4087.898,38.161,32.815,17.737
4088.838,37.882,32.537,18.186
4089.781,39.227,32.294,17.883
4090.722,38.135,32.091,17.406
4091.665,37.501,31.916,17.079
4092.606,35.726,31.685,16.712
4093.548,34.237,31.193,16.806
4094.492,35.640,30.795,16.859
4095.434,36.877,30.795,16.496
4096.378,33.589,30.611,15.642
4097.321,33.802,30.289,15.047
4098.265,31.481,30.157,14.921
4099.208,31.654,29.959,14.831
4100.151,32.229,29.922,14.431
4101.097,30.606,29.787,13.326
4102.040,29.082,29.458,12.127
4102.986,29.909,29.201,11.745
4103.930,28.234,29.168,12.582
4104.876,27.720,28.993,13.756
4105.821,28.136,28.691,14.657
4106.768,28.443,28.457,15.223
4107.712,28.628,28.406,15.533
4108.657,26.802,28.521,15.655
4109.605,27.612,28.533,15.670
4110.550,27.620,28.109,15.727
4111.498,27.472,27.913,15.346
4112.444,27.974,27.879,15.512
4113.392,27.613,27.622,15.881
4114.338,26.643,27.407,16.145
4115.285,24.690,27.588,16.647
4116.234,25.546,27.703,17.077
4117.181,27.722,27.466,17.135
4118.130,27.576,27.331,16.643
4119.078,25.229,27.295,15.843
4120.027,26.907,27.284,15.286
4120.975,25.472,27.303,15.717
4121.923,26.005,27.332,16.462
4122.874,26.814,27.269,16.486
4123.822,25.995,26.966,16.417
4124.773,26.262,26.870,16.692
4125.722,28.082,26.981,16.529
4126.673,25.819,26.981,16.533
4127.623,25.789,26.914,16.309
4128.572,25.834,27.072,16.057
4129.524,24.830,26.828,16.183
4130.474,25.984,26.522,16.110
4131.427,25.016,26.488,16.094
4132.377,25.377,26.631,15.046
4133.330,26.960,26.630,14.864
4134.281,25.872,26.563,14.656
4135.232,23.774,26.543,15.080
4136.186,25.489,26.536,16.240
4137.137,23.787,26.506,16.921
4138.091,26.338,26.432,17.151
4139.043,26.379,26.294,17.203
4139.998,24.845,26.217,17.329
4140.950,24.696,26.278,17.656
4141.903,25.038,26.335,16.927
4142.858,25.106,26.377,15.545
4143.811,24.903,26.368,14.047
4144.766,24.620,26.144,13.783
4145.720,25.308,26.227,14.680
4146.676,25.903,26.280,15.739
4147.630,24.814,26.069,16.289
4148.584,26.378,25.919,16.038
4149.541,26.751,26.054,15.608
4150.495,25.839,25.934,15.619
4151.452,24.424,25.610,15.521
4152.407,24.064,25.910,15.980
4153.365,25.652,25.919,15.863
4154.320,25.729,25.642,15.502
4155.276,25.032,25.684,15.569
4156.234,24.587,25.729,15.477
4157.190,24.088,25.727,15.766
4158.149,23.430,25.570,15.811
4159.106,23.553,25.344,15.968
4160.065,24.947,25.330,16.247
4161.022,25.196,25.559,16.452
4161.979,25.079,25.556,16.779
4162.939,25.323,25.489,17.275
4163.896,25.764,25.558,17.534
4164.857,25.526,25.615,18.005
4165.815,24.141,25.544,18.273
4166.775,25.317,25.385,17.806
4167.734,25.175,25.274,16.859
4168.693,24.444,25.335,16.568
4169.654,24.337,25.230,16.929
4170.613,23.974,25.158,17.247
4171.575,25.260,25.174,16.477
4172.535,25.722,25.137,15.746
4173.497,24.544,25.056,14.778
4174.457,23.995,25.066,14.612
4175.417,25.180,25.142,14.689
4176.380,25.896,25.064,15.379
4177.341,24.176,24.948,15.478
4178.304,24.382,24.930,15.589
4179.265,23.964,24.787,15.767
4180.229,23.899,24.906,15.976
4181.191,24.841,24.934,15.959
4182.155,24.488,24.792,15.456
4183.117,23.140,24.682,14.843
4184.079,24.358,24.709,14.337
4185.044,24.749,24.654,14.921
4186.007,24.053,24.654,15.207
4186.972,23.852,24.521,14.855
4187.935,24.418,24.484,13.885
4188.901,24.295,24.640,13.653
4189.865,23.265,24.734,14.456
4190.829,24.311,24.494,15.331
4191.795,24.080,24.586,15.274
4192.759,22.442,24.658,15.386
4193.726,23.772,24.517,15.770
4194.691,22.089,24.370,16.200
4195.658,23.483,24.388,15.428
4196.624,23.876,24.352,14.450
4197.589,23.486,24.452,13.949
4198.557,23.987,24.440,13.329
4199.523,24.533,24.312,12.863
4200.491,24.441,24.183,13.032
4201.457,22.719,24.191,13.556
4202.426,23.876,24.365,13.551
4203.393,24.531,24.260,13.604
4204.360,22.501,24.259,14.123
4205.330,22.050,24.217,14.944
4206.297,23.568,24.047,14.867
4207.267,23.577,23.908,15.445
4208.235,22.970,23.962,15.890
4209.205,22.699,23.994,16.011
4210.174,22.832,24.064,15.594
4211.142,23.032,24.120,15.251
4212.113,23.202,24.073,15.399
4213.082,23.888,23.943,15.899
4214.054,22.776,23.892,15.859
4215.023,22.062,23.860,15.183
4215.995,22.308,23.738,14.404
4216.965,21.384,23.773,13.966
4217.935,23.977,23.846,14.364
4218.908,21.738,23.770,14.780
4219.878,23.380,23.794,14.797
4220.851,24.477,23.694,15.309
4221.822,22.108,23.735,15.559
4222.796,23.107,23.768,15.328
4223.767,22.707,23.730,14.776
4224.739,22.877,23.681,13.894
4225.713,22.694,23.620,12.734
4226.685,21.798,23.698,11.206
4227.660,21.234,23.662,10.146
4228.633,22.226,23.713,11.392
4229.608,23.556,23.684,13.351
4230.581,22.850,23.505,14.933
4231.554,22.749,23.738,15.416
4232.530,22.971,23.683,15.363
4233.504,22.921,23.641,14.750
4234.480,23.211,23.615,14.332
4235.454,21.496,23.493,14.119
4236.431,21.692,23.354,13.751
4237.405,22.702,23.444,13.161
4238.380,23.053,23.367,13.174
4239.357,22.988,23.518,13.766
4240.333,23.394,23.561,13.850
4241.310,22.646,23.431,14.287
4242.286,22.253,23.366,14.483
4243.264,22.445,23.366,14.400
4244.241,23.250,23.369,14.168
4245.217,23.308,23.244,14.607
4246.196,21.672,23.366,15.705
4247.173,23.435,23.597,15.972
4248.152,22.461,23.526,15.578
4249.129,22.599,23.326,14.592
4250.109,22.902,23.517,13.439
4251.087,22.062,23.434,13.179
4252.065,22.409,23.503,13.840
4253.045,22.503,23.581,15.099
4254.024,22.369,23.385,14.999
4255.005,22.013,23.481,13.948
4255.984,21.927,23.328,13.746
4256.965,22.236,23.404,14.535
4257.944,22.619,23.617,15.239
4258.926,23.584,23.438,14.955
4259.906,22.019,23.033,13.736
4260.886,21.742,23.545,12.560
4261.869,22.207,23.487,12.301
4262.849,21.899,23.435,13.080
4263.832,22.291,23.561,14.573
4264.813,23.657,23.619,15.174
4265.796,23.059,23.532,15.376
4266.778,23.099,23.634,15.550
4267.759,23.126,23.584,15.076
4268.743,22.137,23.843,14.581
4269.725,22.105,23.896,14.047
4270.710,23.969,23.698,13.337
4271.692,22.582,23.617,12.231
4272.677,21.964,23.613,11.616
4273.660,22.510,23.655,11.790
4274.644,22.777,23.594,12.397
4275.629,22.909,23.432,12.511
4276.613,22.196,23.346,13.194
4277.599,23.971,23.432,14.537
4278.583,23.132,23.444,15.312
4279.570,22.076,23.254,15.053
4280.554,23.170,23.429,13.772
4281.539,22.569,23.557,13.541
4282.526,20.962,23.594,13.726
4283.511,21.794,23.717,14.048
4284.499,22.797,23.613,13.998
4285.485,22.308,23.536,13.953
4286.473,21.547,23.661,13.346
4287.459,22.458,23.658,13.016
4288.446,22.099,23.595,12.986
4289.434,22.489,23.740,12.688
4290.421,21.752,23.874,11.838
4291.411,21.388,23.665,11.704
4292.398,22.293,23.578,12.768
4293.388,22.252,23.499,13.506
4294.375,22.881,23.434,13.968
4295.363,22.790,23.518,13.540
4296.354,21.843,23.596,13.194
4297.342,21.930,23.493,12.897
4298.333,23.377,23.365,12.144
4299.322,23.435,23.594,11.097
4300.313,21.572,23.789,10.169
4301.303,22.318,23.484,9.797
4302.292,23.795,23.261,9.923
4303.284,24.090,23.452,10.052
4304.274,23.385,23.309,10.365
4305.267,23.000,23.235,10.451
4306.257,22.784,23.344,10.857
4307.250,23.359,23.366,10.600
4308.241,22.708,23.380,10.214
4309.232,22.096,23.586,9.787
4310.226,22.816,23.470,9.816
